#,Scenario (verbatim from your sheet),Suite file,Test name(s),Steps automated,Expected result,"Actual result (from live runs, 31 Aug 2026)",Status
1,Verify that user can perform 2 Intake to Payments full flow for 1 CXO,testSuiteCxoTwoIntakePayments.spec.js,"one CXO of 100 qty funds two 50-qty intakes, each paid in full","1. Create ONE CXO (line item qty 100 x 2,000 = 200,000) and approve it to Released.
2. Write a private fixture copy per chain, both seeded with that savedCxo and with invoice-number seeds 500 apart. Every save*Code helper rewrites pages/NSEFoundationData.json, so two chains sharing it would open each other's PO/invoice.
3. Reserve the run's whole invoice-number range in the shared fixture UP FRONT — a run that dies mid-flight has still burned its numbers on the server, and the app blocks a duplicate reference by DISABLING Proceed (silent block).
4. CHAIN A - intake (qty 50, linked to the CXO) -> approve to Released -> Process -> Send For Sourcing -> RFX -> approve -> quote (Commercial, INR, unit rate 2,000) -> foreclose -> award -> PR edit+submit -> wait Processed/Completed -> PRC -> PO -> approve -> GRN (received = PO qty) -> approve to Inwarded.
5. CHAIN A invoice: PO -> Create -> Invoice -> upload document, invoice no. + date, period/extra billing No -> FIX -> Item Matching -> tick the chain's GRN -> Submit -> approve every stage until the invoice settles.
6. CHAIN A payment: POST the acknowledgement (EXPENSE_RECORD_NO = invoice code, response_body_reference = invoice number) -> assert Accounted -> + Payment with paid amount = invoice amount, a unique UTR and today's date -> Submit -> Transactions tab shows the payment Completed.
7. CHAIN B - repeat steps 4-6 with a SECOND intake (qty 50) on the SAME CXO, which by now has 100,000 consumed and 100,000 remaining.
8. Assert the two chains are genuinely separate: different intake codes, different invoice codes, different invoice references, different UTRs.
9. Carry the invoice counter forward into the shared fixture, then restore the other fixtures.
NOTE the chains run SEQUENTIALLY (RUN_PARALLEL=false). Parallel is wired up and was tried: the app loses one of two surrogate quotes submitted at the same moment as the same supplier (RFX-26-268 stayed Released at ""0 out of 1 Supplier"" while RFX-26-267 quoted fine).
RESUME POINTS, so a late failure costs only its own segment: S1_CXO_CODE/S1_CXO_ID (reuse a CXO), S1_RESUME_PR_ID (from a Completed PR), S1_RESUME_INVOICE_ID/CODE/NUMBER (from a settled invoice). S1_ONLY=A|B runs one chain.","One CXO funds two complete Intake-to-Payment flows; both invoices reach Accounted and both payments show Completed, on two distinct sets of records.","PASS (48.2 min, 2026-09-10). CXO-FNSE-26-436 (200,000) carried both flows: chain A INT-FNSE-26-448 -> PO-NSEFN-26-254 -> Invoice-FNSE-26-410 paid 100,000 (UTR ...822651); chain B INT-FNSE-26-449 -> PO-NSEFN-26-255 -> Invoice-FNSE-26-412 paid 100,000 (UTR ...846307). All four distinctness assertions held.
Nine defects were fixed to get here. Pre-existing, in shared helpers: (a) approveSourcingUntilReleased inferred ""approved"" from a MISSING Pending Approval badge and returned with the RFX still pending; (b) _waitForApproveButton allowed only 4s per attempt and reported ""Approve not visible"" on pages that did offer it (12s now); (c) completeIntakeSubmissionPopup clicked Proceed while the Process Request dialog was still loading it disabled; (d) waitForPrStatus waited on the TRANSIENT ""Processed"" and burned 54 polls while PR-NSEFN-26-167 sat Completed (accepts an array now); (e) readInvoiceAmount read the page's ""0.00"" placeholder and entered a ZERO payment (polls for non-zero now); (f) the ack POST had no retry and lost a whole chain to one ETIMEDOUT.
Also fixed in this spec: the invoice counter was only carried forward on success, so failed runs burned references the next run then collided with.",PASS
102,Verify that payments done for the advance are displaying all the respective payments from the Advance transaction tab.,testSuiteAdvancePayments.spec.js,a paid advance lists its payments and the amounts reconcile / an advance with no payment shows an empty Transactions tab,"1. Open /advances (the module has no module-switcher entry; /advance is a different tabbed view and /advance-payments 404s) and read Code / Type / Amount / Status.
2. For every Paid or Utilised advance, open it and switch to the Transactions tab.
3. Assert at least one payment row, each with a Payment- code and type ""Advance Payment"".
4. RECONCILE: assert the payment amounts SUM to the advance amount - presence alone would pass even if the tab showed another advance's payment.
5. CONTRAST: assert a non-paid advance shows an empty Transactions tab, so step 3 cannot pass merely because the tab always lists something.",All payments made against an advance are listed in the Advance transaction tab.,"PASS (2 tests). Advance-FNSE-26-4 (Paid, Rs 1,000) -> Payment-FNSE-26-23 Rs 1,000; Advance-FNSE-26-2 (Paid, Rs 500) -> Payment-FNSE-26-18 Rs 500; Advance-FNSE-26-1 (Utilised, Rs 1,500) -> Payment-FNSE-26-12 Rs 1,500 - every total reconciles exactly. Contrast: Advance-FNSE-26-5 (Accounted, Rs 4,234) shows ""No data"". KEY FINDING: Accounted does NOT imply paid, so the test filters on Paid/Utilised - asserting ""every advance lists a payment"" would fail on correct behaviour.",PASS
103,Verify user can clone a cancelled CXO without changing the reference.,testSuiteCxoClone.spec.js,a Cancelled CXO can be cloned without changing the reference,"1. Find a CXO with the required status on the CXO listing.
2. Open it, More -> Clone; the form opens at /cxos/{id}/clone pre-filled.
3. Submit WITHOUT changing anything (the reference/BRF stays as-is).
   NOTE: the first Submit click does nothing visible on this form - only a
   second click posts. The helper retries up to 3 times.
4. Assert whether a new CXO was created (URL leaves /clone for a new id).",A cancelled CXO can be cloned without changing the reference.,"PASS. Cloned CXO-FNSE-26-361 (Cancelled) with the reference unchanged -> 'CXO request created successfully', new CXO at /cxos/5754. SIDE EFFECT: each run of this test creates a real CXO on UAT - inherent to the scenario.",PASS
104,Automate all the Requisition listing scenarios like Intake.,testSuiteModuleListings.spec.js,Requisition Listing Page (35 tests),"Parametrised coverage: page load and row rendering; all view-type tabs visible; pagination controls; tab switching and return to All; search by exact code, partial code, different case, and clearing search; negative search (non-existent, spaces-only, SQL injection, XSS payload); edge search (very long string, special characters, unicode); sort Date column first and second click; each column filter popup opens; filtering by Status narrows the table to that value; filter search narrows the option list; Clear Selection resets; non-existent and special-character filter searches; Previous disabled on page 1; Next advances; Next-then-Previous returns; rows differ between pages; search on page 2; row click opens detail; browser back returns; refresh keeps the URL.","All Requisition listing scenarios are automated, as for Intake.","PASS - 35/35. Data-driven: search terms come from the first visible row and filter values from the first option in the popup, so the suite survives UAT data churn.",PASS
105,Automate all the PO listing scenarios like Intake.,testSuiteModuleListings.spec.js,Purchase Order Listing Page (~33 tests),"Same parametrised coverage as scenario 109, applied to the Purchase Order listing. Sorting is skipped because the PO headers expose no sort icon.","All PO listing scenarios are automated, as for Intake.",PASS - part of the 99/99 PO+GRN+Invoice run.,PASS
106,Automate all the Invoice listing scenarios like Intake.,testSuiteModuleListings.spec.js,Invoice Listing Page (~33 tests),"Same parametrised coverage as scenario 109, applied to the Invoice listing. Sorting is skipped because the Invoice headers expose no sort icon.","All Invoice listing scenarios are automated, as for Intake.",PASS - part of the 99/99 run. NOTE: scenario 88 (MSME filter) is NOT covered - the Invoice listing exposes no MSME column by default.,PASS
107,Automate all the GRN listing scenarios like Intake.,testSuiteModuleListings.spec.js,GRN Listing Page (~33 tests),"Same parametrised coverage as scenario 109, applied to the GRN (Inwards) listing, including its Date sort.","All GRN listing scenarios are automated, as for Intake.",PASS - part of the 99/99 run.,PASS
108,Verify the system works as expected after clicking the Approve / Submit / Proceed button multiple times.,testSuiteDoubleSubmit.spec.js,Double-click protection on Submit > double-clicking Submit creates only one CXO @S113,"Fill a CXO create form, click Submit, then click the Workflow Summary popup Submit TWICE in quick succession while recording every non-GET request; assert exactly one accepted create call and that the CXO reached its overview.",Only one transaction is created; the app does not duplicate or error.,"PASS - exactly one accepted POST /api/capp/v4/transactions/ despite the double click. Asserted on the NETWORK, not the screen: the app lands on one overview either way, so a duplicate would be created silently behind it. Covered on the CXO Submit path as the representative case. Note the submit also fires budget-items/validate-items and workflow/stages/eligible-users, which are NOT creates - counting all non-GET traffic reports a passing app as broken.",PASS
109,Verify after any report is sent via mail from admin reports or reports module then its logged in admin reports and that report can be downloaded from the log.,testSuiteReports.spec.js,"Reports - generate, download and email > a report generates, downloads and is logged when emailed @S114","Open Reports > PR Ageing Report; set the date range to the last 3 months; Generate Report; Download; Send Mail; open /email-report-logs and poll the newest row for that report until its Status leaves ""pending"".","The report generates and downloads, the mail is sent, and the send is logged with a success status plus its own download link.","PASS (in-app half) - 12 rows generated for 2026/06/01-2026/09/01; Download produced ""PR Ageing Report.xlsx""; Send Mail -> HTTP 200; log row reached Status ""success"" with Report URL ""Download"". NOTE /admin-reports is 403 for the NSEF login so admin reports are out of scope (QA confirmed). Status word is ""success"", not ""completed"". Older log rows read ""Link Expired"". Confirming the mail ARRIVED is BLOCKED by Gmail 2FA.",PARTIAL - mailbox check blocked
110,Verify that cancelled invoice cannot be acknowledged,testSuiteInvoiceAckRules.spec.js,a Cancelled invoice is not acknowledged / the ack API reports refusal for a Cancelled invoice,"1. Find an invoice with the target status on the Invoice listing.
2. Open it and confirm the status on the detail page itself (polled, not a fixed wait).
3. POST to the acknowledgement API with that invoice's code.
4. Assert the invoice did NOT become Accounted.
5. Separately, assert the API reported the refusal (non-2xx, or 2xx with success:false).",A cancelled invoice cannot be acknowledged.,"PASS (2/2). Invoice-FNSE-26-346 (Cancelled) -> the API refuses with HTTP 400 success=false, and the invoice remains Cancelled. Correct behaviour.",PASS
111,Verify that Rejected Invoice cannot be acknowledged,testSuiteInvoiceAckRules.spec.js,a Rejected invoice is not acknowledged,"1. Find an invoice with the target status on the Invoice listing.
2. Open it and confirm the status on the detail page itself (polled, not a fixed wait).
3. POST to the acknowledgement API with that invoice's code.
4. Assert the invoice did NOT become Accounted.
5. Separately, assert the API reported the refusal (non-2xx, or 2xx with success:false).",A rejected invoice cannot be acknowledged.,"PASS (live 4 Sep 2026). Invoice-FNSE-26-350 (Rejected): the ack call leaves the status Rejected - it never becomes Accounted, which is the contract under test. QA ruling 4 Sep 2026: the HTTP 200 success=true payload is OUT OF SCOPE and to be ignored, so the API-reporting assertion is no longer generated for the Rejected case (it still runs for Cancelled, which correctly answers HTTP 400 success=false). No deferred/fixme item remains. Suite run: 4/4 pass.",PASS
115,Verify the Process button is not displayed after Intake is processed with full quantity,testSuiteIntakeNegative.spec.js,Processed intake no longer shows the Process button,"1. Find an intake with status Processed and open it.
2. Assert the status chip reads Processed.
3. Assert no 'Process' header button is rendered.
4. Assert 'Mark Processed' is absent from the More menu.
5. Companion baseline test asserts a RELEASED intake DOES offer both Process and Cancel.",The Process button is not displayed once the Intake is fully processed.,"PASS. The baseline test matters: without it, 'button absent' would pass even if the page failed to render at all.",PASS
117,Verify correct PO number is displayed during PO GRN Invoice creation process.,testSuiteGrnCancel.spec.js,"a GRN partially matched to an Accounted Invoice cannot be cancelled (@S117, shared with 68)","Folded into the scenario-68 CXO->...->Invoice-Accounted chain per QA (2026-09-07), so it costs no extra run. The PO code is asserted at FIVE points: the PO view page, the GRN creation page, the GRN view page after approval, the Invoice creation page, and the Invoice view page while pending approval.
The assertion checks CORRECTNESS, not presence: every PO-XXX-nn-nnn string on the page must equal the expected code, so a page showing another PO number fails. The expected code is read fresh from disk because the module import predates the run that wrote savedPurchaseOrder.",The correct PO number is displayed throughout GRN and Invoice creation and on their view pages.,"PASS - verified 2026-09-07 end to end (2 passed, 16.1m). All FIVE points confirmed on PO-NSEFN-26-220: PO view page, GRN creation page, GRN view page after approval, Invoice creation page, and Invoice view page while pending approval. Each asserts the expected code is present AND that no other PO code appears. The earlier blocker (Create -> GRN silently doing nothing, /pending-inwards/po/<id>/inward blank) was a PO-state problem: the chain builds its own PO and both creation flows work. ASSERTION TRAP, found the hard way: on the Invoice creation page the PO code exists ONLY as an input VALUE (id mui-74794), which document.body.innerText and textContent both omit - the first full run failed reporting ""PO codes on the page: []"" against a page that was displaying it correctly. assertPoCodeVisible now scans rendered text AND every input/textarea value, so a wrong PO code in a FIELD is caught too.",PASS
122,Verify that cancelling an Invoice after matching it with a GRN changes the GRN status back to Unmatched and releases the matched quantity.,testSuiteInvoiceCancelGrn.spec.js,cancelling a matched Invoice returns its GRN to Unmatched and frees the qty,"1. Build CXO -> Intake -> RFX -> quote -> foreclose -> award -> PR -> PRC -> PO via the shared chain builder (or RESUME=1 to reuse an existing open PO + inwarded GRN).
2. Create a GRN against the PO and approve it to Inwarded. Capture the code saveGrnCode() RETURNS - reading data.savedGrn.code gets the module-level JSON import, a snapshot from BEFORE the run.
3. BASELINE: assert the fresh GRN is NOT yet matched, so ""it unmatched after cancelling"" cannot pass against a stale already-matched GRN.
4. Create an Invoice against the PO and match it to that GRN; submit.
5. Assert the GRN Matched icon is now progress-completed.
6. RECALL the invoice (a Pending-Approval invoice has NO Cancel action), which moves it to Rejected and reveals Cancel; then Cancel it.
7. Assert the GRN Matched icon is no longer completed (66) and that the PO offers the full quantity for a new Invoice (122 / 151).",The GRN returns to Unmatched and the matched quantity is released.,PASS - same run as 66. The release is proven by the PO offering qty 100 for a NEW invoice after the cancellation.,PASS
126,Verify that duplicate Invoice reference numbers are validated when an existing Invoice is edited and submitted.,testSuiteInvoiceRefValidation.spec.js (creation) + testSuiteInvoiceReviewValidation.spec.js (review),a duplicate Invoice reference is refused at creation / at CAPP review: an over-long Subject and a duplicate reference are both refused,"CREATION HALF (CAPP):
1. Read a reference an existing invoice already holds.
2. PO -> Create -> Invoice, fill the header normally, then overwrite the reference with that collision.
3. Submit and assert it is refused with a message naming the colliding invoice.
REVIEW HALF (SAPP creates, CAPP reviews):
4. Read the collision BEFORE anything else (the SAPP creation overwrites savedInvoice).
5. Build a fresh chain CXO -> Intake -> RFX -> SAPP quote -> award -> PR -> PRC -> PO -> SAPP accept -> GRN.
6. SAPP: create an invoice against that PO - it lands in CAPP as Pending Review.
7. CAPP: More -> Reassign Workflow Approver, match line items to the GRN, then Review -> /invoices/<id>/edit.
8. Set Invoice Number to the collision, submit, and assert the validation is DISPLAYED and names the colliding invoice.
Nothing is submitted successfully - the refusal leaves the invoice in Review.","A duplicate Invoice reference is refused, with a validation message, both at creation and when edited at the review stage.","PASS - both halves. CREATION HALF verified 2026-09-07 (2 passed, 48.0s): re-using INV-AUTO-112 gave a hard block - modal ""Invoice has failed duplicate validation. Please refer to Invoice-FNSE-26-367"" with Proceed DISABLED. REVIEW HALF: setting Invoice Number to INV-AUTO-116 on the review edit page was refused with ""Invoice has failed duplicate validation. Please refer to Invoice-FNSE-26-369"". ONE FLOW covers both, per QA 2026-09-08 - a Pending-Review invoice costs ~17 min of chain to produce, and both checks live on the same review edit page. Order: over-long Subject -> assert the limit validation -> re-enter review (which restores the Subject) -> duplicate reference -> assert the duplicate validation. ROUTE: creating the invoice from SAPP is what triggers the Review stage; the checks are CAPP-side on /invoices/<id>/edit, reached by More -> Reassign Workflow Approver -> match line items -> Review. A CAPP-created PO invoice goes straight to Pending Approval, so SAPP is the only door. A FRESH PO is required: one that already carries an invoice hits the known ""2nd invoice sends the full PO qty"" bug, whose silent-stall symptom is indistinguishable from a validation refusal. Verified live 2026-09-08 on Invoice-FNSE-26-376 (/invoices/1151, pending-review), 2 passed in 1.9 min. SIX TRAPS, every one of which produced a WRONG result first: (1) the More button was given 8s and the page renders it late, so the reassign that unlocks Review was skipped; (2) readSavedInvoiceNumber read the body once with no retry; (3) the Item Matching dialog has a shape with neither Add GRN nor Submit, and a hard 10s wait for that Submit took the whole test down; (4) the GRN lookup demanded an exact code with no fallback (savedGrn INW-NSEFN-26-113 vs the PO's actual INW-NSEFN-26-114); (5) appending //button to the muiDialog locator was an XPath PRECEDENCE BUG - that locator is a union (A | B), so the suffix binds to B alone and .first() matched the dialog DIV, meaning the Proceed click landed on the dialog body and was silently swallowed; (6) the subject validation is TRANSIENT - the Workflow Summary dialog does NOT change when it fires, so a click-then-verify-the-dialog-changed helper concluded the click was swallowed, clicked three more times, and by the time it scanned the message had auto-dismissed. It is caught ~0.8s after the click by polling every 250ms. Trap 6 nearly recorded a working validation as ""the 250-char limit is not enforced"" - QA seeing it by eye is what caught that. CAVEAT: verified through the test's S126B_INVOICE_ID fast path (reusing an invoice already in Pending Review). The DEFAULT path, which builds its own chain CXO -> ... -> PO -> GRN, has not been re-run end to end since these fixes - though its chain build did complete cleanly in 17.6 min on 2026-09-08 and produced the very invoice these assertions passed against.",PASS
127,Verify that the subject character limit is validated when an Invoice is edited and submitted with more than 240 characters.,testSuiteInvoiceReviewValidation.spec.js,at CAPP review: an over-long Subject and a duplicate reference are both refused,"1. Read a reference an existing invoice already holds (BEFORE anything else - the SAPP creation overwrites savedInvoice).
2. Build a fresh chain CXO -> Intake -> RFX -> SAPP quote -> award -> PR -> PRC -> PO -> SAPP accept -> GRN.
3. SAPP: create an invoice against that PO - it lands in CAPP as Pending Review.
4. CAPP: More -> Reassign Workflow Approver, match line items to the GRN, then Review -> /invoices/<id>/edit.
5. Set Subject to 255 characters (5 over the real 250 cap).
6. Submit -> Validations dialog -> Proceed -> Workflow Summary popup -> Submit.
7. Poll for the validation from the instant of the click - it is transient.
8. Re-enter review (a bare reload of /edit does not render the form) to restore the Subject.
9. Then run the duplicate-reference half (scenario 126b) on the same invoice.
Nothing submits successfully - both refusals leave the invoice in Review.",A Subject longer than 250 characters is rejected with a validation message when the invoice is submitted from the review edit page.,"PASS - verified live 2026-09-08. The exact message, caught ~0.8s after the Workflow Summary submit: ""Error editing invoice: ValidationError: Invoice Subject cannot exceed 250 characters."" THE LIMIT IS 250, NOT 240 as the sheet says - confirmed by QA and by the app's own wording, so the test sends 255 rather than the 241 the sheet implies, which is UNDER the real cap and would have scored a correct app as broken. The limit is enforced at the LAST step, not the first: Submit only opens a ""Validations"" dialog that reports the duplicate check; the subject error appears after Proceed and then the Workflow Summary Submit. ONE FLOW covers both, per QA 2026-09-08 - a Pending-Review invoice costs ~17 min of chain to produce, and both checks live on the same review edit page. Order: over-long Subject -> assert the limit validation -> re-enter review (which restores the Subject) -> duplicate reference -> assert the duplicate validation. ROUTE: creating the invoice from SAPP is what triggers the Review stage; the checks are CAPP-side on /invoices/<id>/edit, reached by More -> Reassign Workflow Approver -> match line items -> Review. A CAPP-created PO invoice goes straight to Pending Approval, so SAPP is the only door. A FRESH PO is required: one that already carries an invoice hits the known ""2nd invoice sends the full PO qty"" bug, whose silent-stall symptom is indistinguishable from a validation refusal. Verified live 2026-09-08 on Invoice-FNSE-26-376 (/invoices/1151, pending-review), 2 passed in 1.9 min. SIX TRAPS, every one of which produced a WRONG result first: (1) the More button was given 8s and the page renders it late, so the reassign that unlocks Review was skipped; (2) readSavedInvoiceNumber read the body once with no retry; (3) the Item Matching dialog has a shape with neither Add GRN nor Submit, and a hard 10s wait for that Submit took the whole test down; (4) the GRN lookup demanded an exact code with no fallback (savedGrn INW-NSEFN-26-113 vs the PO's actual INW-NSEFN-26-114); (5) appending //button to the muiDialog locator was an XPath PRECEDENCE BUG - that locator is a union (A | B), so the suffix binds to B alone and .first() matched the dialog DIV, meaning the Proceed click landed on the dialog body and was silently swallowed; (6) the subject validation is TRANSIENT - the Workflow Summary dialog does NOT change when it fires, so a click-then-verify-the-dialog-changed helper concluded the click was swallowed, clicked three more times, and by the time it scanned the message had auto-dismissed. It is caught ~0.8s after the click by polling every 250ms. Trap 6 nearly recorded a working validation as ""the 250-char limit is not enforced"" - QA seeing it by eye is what caught that. CAVEAT: verified through the test's S126B_INVOICE_ID fast path (reusing an invoice already in Pending Review). The DEFAULT path, which builds its own chain CXO -> ... -> PO -> GRN, has not been re-run end to end since these fixes - though its chain build did complete cleanly in 17.6 min on 2026-09-08 and produced the very invoice these assertions passed against.",PASS
131,Verify that rejecting or sending back an Invoice at the Review stage updates its status correctly across all applicable pages and reports.,testSuiteRejectedNotPending.spec.js,a rejected CXO / PO / Invoice is not in its pending-approval view (3 tests),"For each of CXO, PO and Invoice:
1. Build the transaction and leave it in Pending Approval (the PO chain runs with { approvePo: false }).
2. Reject it - rejectCxo for the CXO, rejectCappDoc for the PO and Invoice.
3. Open that module's listing and switch to its pending-approval view (label differs per module - see the note).
4. Collect every transaction code in that view, paginating where the listing supports it.
5. Assert the rejected code is NOT among them.",A rejected transaction no longer appears in the pending-approval view of its listing.,"PASS - verified live 2026-09-08 (CXO: 2 passed in 1.6 min; PO + Invoice: 3 passed in 31.1 min). CXO-FNSE-26-403, PO-NSEFN-26-228 and Invoice-FNSE-26-384 were each built, left in Pending Approval, rejected, and then confirmed ABSENT from their module's pending-approval view. QA reframed the sheet's vague ""across all applicable pages and reports"" into a concrete check on 2026-09-08: after rejecting, the listing's pending-approval view must not show the transaction. SCOPE - CXO, PO and Invoice ONLY, on QA's instruction. The other modules were probed live and have no such view: GRN's /inwards listing shows no approval text at all, and Intake and RFX offer only ""All"". NOTE an Intake tab_MyPendingApproval locator DOES exist in the repo and is mapped in intakeListingActions, but no test ever exercised it and the live listing does not render it - so its presence was never real. TRAP: THE LABEL DIFFERS BY MODULE. CXO and Invoice use ""My Pending Approval""; the PO listing uses ""Pending My Approval"" - different WORD ORDER. Matching one string everywhere finds nothing on the PO listing and would pass for the wrong reason. CXO is a v4 role=tab; PO and Invoice are v3 plain-text controls. SCAN DEPTH, stated rather than assumed: the CXO view PAGINATES and 47 codes were walked. The PO and Invoice views return ONE page of 20 rows - and that is not a helper limitation: probed live, they expose no pagination control at all (no Next, no pager icons, no ""Showing X of Z"" footer), so there is no page 2 to miss, but the queue's true size cannot be read either. The assertion leans on newest-first ordering putting a just-rejected record on page 1. The Invoice case matches its GRN deliberately - an UNMATCHED invoice goes to Disputed (scenario 69) and so would never enter the approval queue. The Invoice reject also needed the workflow approver reassigned to NSEF Support Admin before Reject rendered, which rejectCappDoc handles.",PASS
133,Verify that cancelling a transaction removes it from the approver's My Pending Approvals list.,testSuiteDashboard.spec.js,No Cancelled or Rejected CXO remains in My Pending Approval,"1. Open the CXO listing.
2. Switch to the My Pending Approval tab.
3. Walk every page and collect rows whose status is terminal (Cancelled, Rejected, Amend Rejected, Budget Rejected, Completed, Processed).
4. Split them into exempt (known stale) and unexpected.
5. Assert there are no unexpected terminal rows.",Cancelling a transaction removes it from the approver's My Pending Approvals list.,"PASS (live 2026-09-02). The only terminal row in the tab is CXO-FNSE-26-90 (Cancelled). QA (2026-09-02) confirmed CXO-FNSE-26-90 is expected to remain in the pending-approval tab and told us to ignore it, so it is exempted via a narrow KNOWN_STALE_PENDING allowlist: only that exact code is forgiven, every other terminal row still fails the test, it is logged on every run, and the exemption is self-expiring (if the row is ever cleaned up the tests still pass and the log says the allowlist is unused).",PASS
134,Verify that cancelling a transaction at any workflow stage removes it from all approvers' pending approval lists.,testSuiteDashboard.spec.js,No Cancelled or Rejected CXO remains in My Pending Approval,"Same test as scenario 138 - 139 is the broader form of the same rule ('at any workflow stage', 'all approvers').",Cancelling a transaction at any workflow stage removes it from all approvers' pending approval lists.,"PASS (live 2026-09-02, re-confirmed 4 Sep 2026). Cancelling a transaction removes it from the pending-approval list. QA ruling 4 Sep 2026: this is FULL COVERAGE, not partial - the single-approver check is the expected verification for this scenario. CXO-FNSE-26-90 is expected to remain in the pending-approval tab (QA 2026-09-02, ignore it), so it is exempted via a narrow KNOWN_STALE_PENDING allowlist: only that exact code is forgiven, every other terminal row still fails the test, it is logged on every run, and the exemption is self-expiring.",PASS
135,Verify that submission of a Supplier Onboarding form is blocked when the mandatory IFSC field is left blank during creation.,testSuiteSupplierIfsc.spec.js,a blank IFSC blocks the onboarding submission,"1. Open the supplier listing and walk it until /suppliers/{id}/update renders the editable onboarding form (a REGISTERED supplier redirects /update to its view page).
2. Read the template IFSC fields, matched on the input id PREFIX (""RTGS IFSC Code-"", ""NEFT IFSC Code-"") - the suffix is random per render.
3. Leave both IFSC fields blank.
4. Submit the form (getByRole - the SunEditor injects hidden Submit buttons).
5. Read back the ""<field> is Mandatory"" messages.
6. Assert the form is still open and that ZERO write requests were attempted.",The submission is blocked and every IFSC field is reported as mandatory.,"PASS on supplier 30539 (sdfasdfasdfas12312, Pending-approval). Messages: ""RTGS IFSC Code is Mandatory"", ""NEFT IFSC Code is Mandatory"", ""Please fill mandatory fields"". Form stayed open; zero write requests attempted (blocked client-side).",PASS
136,Verify that the mandatory IFSC validation is triggered when the IFSC field is cleared while editing an existing supplier.,testSuiteSupplierIfsc.spec.js,clearing a stored IFSC while editing raises the same validation,"1. Open the supplier listing and walk it until /suppliers/{id}/update renders the editable onboarding form (a REGISTERED supplier redirects /update to its view page).
2. Read the template IFSC fields, matched on the input id PREFIX (""RTGS IFSC Code-"", ""NEFT IFSC Code-"") - the suffix is random per render.
3. Require the fields to ALREADY hold a stored value (proving this is an edit, not a creation), then clear them.
4. Submit the form (getByRole - the SunEditor injects hidden Submit buttons).
5. Read back the ""<field> is Mandatory"" messages.
6. Assert the form is still open and that ZERO write requests were attempted.",The same mandatory-IFSC validation fires on edit and the submission is blocked.,"PASS on supplier 30539, whose stored values were RTGS=""asdfasdf"" / NEFT=""asdfasdf1231"". After clearing: ""RTGS IFSC Code is Mandatory"", ""NEFT IFSC Code is Mandatory"". Form stayed open; zero write requests attempted. NOTE: same assertion as 135 - possible merge candidate, QA to decide.",PASS
138,Verify that every mandatory field configured in the Supplier Onboarding template triggers validation when left blank.,testSuiteSupplierOnboarding.spec.js,"empty Create Supplier submit is blocked and names every missing field / the supplier onboarding form can be completed and submitted (@S138, shared with 97)","A. CREATE SUPPLIER template:
1. Open /suppliers -> All -> Add New.
2. Submit the form completely empty (via getByRole - the form embeds a SunEditor that injects HIDDEN Submit buttons, and an XPath text match resolves one of those, so the click does nothing and validation looks broken).
3. Assert the form is still open - no supplier created.
4. Collect every ""<field> is Mandatory"" message.
5. Assert Name, Payment Spoc and Alternate Supplier Name are each named.
6. Assert the User Details grid reports 'Atleast one row is required'.
B. SUPPLIER ONBOARDING template - the template this scenario actually names (shared with scenario 97, tagged @S138):
7. Open /suppliers/<id>/update on a Requested supplier and submit it completely EMPTY.
8. Read back every ""<field> is Mandatory"" message and assert the count is non-zero - 65 on this template.
9. Fill only the fields the form named, re-provoking validation until nothing new appears (the form is progressive), which proves each reported field is genuinely enforced.",Every mandatory field in the template triggers validation when left blank.,"PASS - the earlier ""create template only"" caveat is CLOSED (QA 2026-09-07: link 138 with 97). CREATE template: errors raised [""Name is Mandatory"",""Payment Spoc is Mandatory"",""Alternate Supplier Name is Mandatory""] plus ""Atleast one row is required"". ONBOARDING template: the empty submit in scenario 97 test 4 names 65 mandatory fields, all of which are then filled and accepted (HTTP 200) - verified on 4 separate suppliers 2026-09-07. That test now carries the @S138 tag as well, so `--grep @S138` runs BOTH templates. TRAP RETAINED: every button here goes through getByRole, never an XPath text match, because of the hidden SunEditor Submit buttons.",PASS
142,Verify that a supplier can be blocked and unblocked successfully across all configured entities.,testSuiteSupplierOnboarding.spec.js,a supplier can be blocked and unblocked,"1. Open /suppliers -> All and search 'HG Automation'.
2. Open the supplier and assert it starts Registered.
3. More -> Block -> reason -> Submit.
4. Assert the status is Blocked and the menu now offers Unblock and no Block.
5. More -> Unblock -> reason -> Submit.
6. Assert the status reverts to Registered. A finally block unblocks the supplier if any assertion failed.",A supplier can be blocked and unblocked across configured entities.,"PASS (live 2026-09-02) on HG Automation SUPP (/suppliers/30458). Registered -> Blocked -> Registered, menu ['Block','Reassign User','Reassign Initiator'] -> ['Unblock','Reassign User','Reassign Initiator']. The block dialog warns 'Alert: This supplier has 20 open POs' - informational, it does not gate Submit. Supersedes the earlier non-destructive version: QA nominated this supplier as the throwaway on 2026-09-02.",PASS
